"ITTER107","Territorio","TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","SEXISTAT1","Sesso","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC3","Liguria","18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","2016","2016",695,,
"ITC3","Liguria","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","2016","2016",467,,
"ITC3","Liguria","18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","2016","2016",122,,
"ITC3","Liguria","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",4.2,,
"ITC3","Liguria","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",51.8,,
"ITC3","Liguria","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",34.9,,
"ITC3","Liguria","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",9.1,,
"ITC4","Lombardia","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","2016","2016",320,,
"ITC4","Lombardia","18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","2016","2016",4377,,
"ITC4","Lombardia","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","2016","2016",2737,,
"ITC4","Lombardia","18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","2016","2016",837,,
"ITC4","Lombardia","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",3.9,,
"ITC4","Lombardia","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",52.9,,
"ITC4","Lombardia","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",33.1,,
"ITC4","Lombardia","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",10.1,,
"ITD","Nord-est","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","2016","2016",338,,
"ITD","Nord-est","18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","2016","2016",4964,,
"ITD","Nord-est","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","2016","2016",3351,,
"ITD","Nord-est","18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","2016","2016",1009,,
"ITD","Nord-est","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",3.5,,
"ITD","Nord-est","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",51.4,,
"ITD","Nord-est","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",34.7,,
"ITD","Nord-est","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",10.4,,
"ITDA","Trentino Alto Adige / Südtirol","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","2016","2016",30,,
"ITDA","Trentino Alto Adige / Südtirol","18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","2016","2016",488,,
"ITDA","Trentino Alto Adige / Südtirol","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","2016","2016",260,,
"ITDA","Trentino Alto Adige / Südtirol","18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","2016","2016",68,,
"ITDA","Trentino Alto Adige / Südtirol","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",3.6,,
"ITDA","Trentino Alto Adige / Südtirol","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",57.6,,
"ITDA","Trentino Alto Adige / Südtirol","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",30.7,,
"ITDA","Trentino Alto Adige / Südtirol","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",8.1,,
"ITD1","Provincia Autonoma Bolzano / Bozen","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","2016","2016",12,,
"ITD1","Provincia Autonoma Bolzano / Bozen","18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","2016","2016",235,,
"ITD1","Provincia Autonoma Bolzano / Bozen","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","2016","2016",130,,
"ITD1","Provincia Autonoma Bolzano / Bozen","18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","2016","2016",34,,
"ITD1","Provincia Autonoma Bolzano / Bozen","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",2.9,,
"ITD1","Provincia Autonoma Bolzano / Bozen","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",57.2,,
"ITD1","Provincia Autonoma Bolzano / Bozen","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",31.6,,
"ITD1","Provincia Autonoma Bolzano / Bozen","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",8.3,,
"ITD2","Provincia Autonoma Trento","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","2016","2016",19,,
"ITD2","Provincia Autonoma Trento","18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","2016","2016",252,,
"ITD2","Provincia Autonoma Trento","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","2016","2016",130,,
"ITD2","Provincia Autonoma Trento","18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","2016","2016",34,,
"ITD2","Provincia Autonoma Trento","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",4.3,,
"ITD2","Provincia Autonoma Trento","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",58,,
"ITD2","Provincia Autonoma Trento","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",29.9,,
"ITD2","Provincia Autonoma Trento","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",7.9,,
"ITD3","Veneto","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","2016","2016",150,,
"ITD3","Veneto","18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","2016","2016",2076,,
"ITD3","Veneto","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","2016","2016",1413,,
"ITD3","Veneto","18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","2016","2016",425,,
"ITD3","Veneto","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",3.7,,
"ITD3","Veneto","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",51.1,,
"ITD3","Veneto","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",34.8,,
"ITD3","Veneto","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",10.5,,
"ITD4","Friuli-Venezia Giulia","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","2016","2016",31,,
"ITD4","Friuli-Venezia Giulia","18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","2016","2016",526,,
"ITD4","Friuli-Venezia Giulia","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","2016","2016",364,,
"ITD4","Friuli-Venezia Giulia","18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","2016","2016",109,,
"ITD4","Friuli-Venezia Giulia","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",3,,
"ITD4","Friuli-Venezia Giulia","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",51.1,,
"ITD4","Friuli-Venezia Giulia","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",35.3,,
"ITD4","Friuli-Venezia Giulia","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",10.6,,
"ITD5","Emilia-Romagna","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","2016","2016",127,,
"ITD5","Emilia-Romagna","18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","2016","2016",1875,,
"ITD5","Emilia-Romagna","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","2016","2016",1315,,
"ITD5","Emilia-Romagna","18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","2016","2016",406,,
"ITD5","Emilia-Romagna","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",3.4,,
"ITD5","Emilia-Romagna","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",50.4,,
"ITD5","Emilia-Romagna","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",35.3,,
"ITD5","Emilia-Romagna","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",10.9,,
"ITE","Centro","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","2016","2016",288,,
"ITE","Centro","18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","2016","2016",5342,,
"ITE","Centro","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","2016","2016",3544,,
"ITE","Centro","18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","2016","2016",906,,
"ITE","Centro","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",2.9,,
"ITE","Centro","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",53,,
"ITE","Centro","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",35.2,,
"ITE","Centro","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",9,,
"ITE1","Toscana","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","2016","2016",94,,
"ITE1","Toscana","18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","2016","2016",1613,,
"ITE1","Toscana","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","2016","2016",1156,,
"ITE1","Toscana","18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","2016","2016",279,,
"ITE1","Toscana","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",3,,
"ITE1","Toscana","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",51.3,,
"ITE1","Toscana","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",36.8,,
"ITE1","Toscana","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",8.9,,
"ITE2","Umbria","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","2016","2016",20,,
"ITE2","Umbria","18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","2016","2016",367,,
"ITE2","Umbria","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","2016","2016",281,,
"ITE2","Umbria","18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","2016","2016",81,,
"ITE2","Umbria","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",2.7,,
"ITE2","Umbria","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",49,,
"ITE2","Umbria","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",37.6,,
"ITE2","Umbria","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",10.8,,
"ITE3","Marche","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","2016","2016",41,,
"ITE3","Marche","18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","2016","2016",651,,
"ITE3","Marche","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","2016","2016",469,,
"ITE3","Marche","18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","2016","2016",125,,
"ITE3","Marche","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",3.2,,
"ITE3","Marche","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",50.6,,
"ITE3","Marche","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",36.4,,
"ITE3","Marche","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",9.7,,
"ITE4","Lazio","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","2016","2016",133,,
"ITE4","Lazio","18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","2016","2016",2711,,
"ITE4","Lazio","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","2016","2016",1638,,
"ITE4","Lazio","18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","2016","2016",421,,
"ITE4","Lazio","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",2.7,,
"ITE4","Lazio","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",55.3,,
"ITE4","Lazio","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",33.4,,
"ITE4","Lazio","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",8.6,,
"ITFG","Mezzogiorno","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","2016","2016",407,,
"ITFG","Mezzogiorno","18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","2016","2016",8182,,
"ITFG","Mezzogiorno","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","2016","2016",6574,,
"ITFG","Mezzogiorno","18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","2016","2016",2016,,
"ITFG","Mezzogiorno","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",2.4,,
"ITFG","Mezzogiorno","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",47.6,,
"ITFG","Mezzogiorno","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",38.3,,
"ITFG","Mezzogiorno","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",11.7,,
"ITF","Sud","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","2016","2016",235,,
"ITF","Sud","18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","2016","2016",5451,,
"ITF","Sud","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","2016","2016",4513,,
"ITF","Sud","18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","2016","2016",1416,,
"ITF","Sud","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",2,,
"ITF","Sud","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",46.9,,
"ITF","Sud","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",38.9,,
"ITF","Sud","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",12.2,,
"ITF1","Abruzzo","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","2016","2016",23,,
"ITF1","Abruzzo","18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","2016","2016",507,,
"ITF1","Abruzzo","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","2016","2016",423,,
"ITF1","Abruzzo","18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","2016","2016",157,,
"ITF1","Abruzzo","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",2.1,,
"ITF1","Abruzzo","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",45.6,,
"ITF1","Abruzzo","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",38.1,,
"ITF1","Abruzzo","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",14.2,,
"ITF2","Molise","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","2016","2016",6,,
"ITF2","Molise","18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","2016","2016",122,,
"ITF2","Molise","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","2016","2016",106,,
"ITF2","Molise","18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","2016","2016",33,,
"ITF2","Molise","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",2.1,,
"ITF2","Molise","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",45.7,,
"ITF2","Molise","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",39.8,,
"ITF2","Molise","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",12.4,,
"ITF3","Campania","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","2016","2016",84,,
"ITF3","Campania","18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","2016","2016",2240,,
"ITF3","Campania","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","2016","2016",1873,,
"ITF3","Campania","18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","2016","2016",564,,
"ITF3","Campania","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",1.8,,
"ITF3","Campania","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",47,,
"ITF3","Campania","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",39.3,,
"ITF3","Campania","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",11.8,,
"ITF4","Puglia","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","2016","2016",84,,
"ITF4","Puglia","18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","2016","2016",1584,,
"ITF4","Puglia","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","2016","2016",1257,,
"ITF4","Puglia","18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","2016","2016",440,,
"ITF4","Puglia","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",2.5,,
"ITF4","Puglia","18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",47.1,,
"ITF4","Puglia","18_BMI_SOVRA","sovrappeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",37.4,,
"ITF4","Puglia","18_BMI_OBE","obesi","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",13.1,,
"ITF5","Basilicata","18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","2016","2016",6,,
"ITF5","Basilicata","18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","2016","2016",221,,
"ITF5","Basilicata","18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","2016","2016",195,,
"ITF5","Basilicata","18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","2016","2016",58,,
"ITF5","Basilicata","18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","9","totale","2016","2016",1.3,,
