ANNOSCOLASTICO,PROVINCIA,ORDINESCUOLA,TIPOPOSTO,TIPOSUPPLENZA,FASCIAETA,DOCENTISUPPLENTIMASCHI,DOCENTISUPPLENTIFEMMINE
201718,VERCELLI,SCUOLA PRIMARIA,NORMALE,FINO AL TERMINE,TRA 35 E 44,4,24
201718,LA SPEZIA,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,TRA 35 E 44,2,7
201718,FORLI'-CESENA,SCUOLA PRIMARIA,NORMALE,ANNUALE,TRA 35 E 44,0,1
201718,PISTOIA,SCUOLA PRIMARIA,SOSTEGNO,FINO AL TERMINE,OLTRE 54,2,15
201718,MILANO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,ANNUALE,TRA 45 E 54,44,82
201718,MESSINA,SCUOLA INFANZIA,SOSTEGNO,ANNUALE,OLTRE 54,0,7
201718,GROSSETO,SCUOLA SECONDARIA I GRADO,NORMALE,ANNUALE,OLTRE 54,2,1
201718,OGLIASTRA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,TRA 45 E 54,1,10
201718,ISERNIA,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,FINO A 34,0,1
201718,TORINO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,ANNUALE,TRA 45 E 54,31,44
201718,MONZA E BRIANZA,SCUOLA PRIMARIA,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,23,213
201718,PAVIA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,ANNUALE,OLTRE 54,0,2
201718,PADOVA,SCUOLA PRIMARIA,SOSTEGNO,FINO AL TERMINE,OLTRE 54,1,12
201718,CHIETI,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,TRA 45 E 54,0,2
201718,PORDENONE,SCUOLA PRIMARIA,SOSTEGNO,ANNUALE,FINO A 34,0,1
201718,PIACENZA,SCUOLA INFANZIA,NORMALE,FINO AL TERMINE,OLTRE 54,0,1
201718,PISA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,FINO A 34,7,12
201718,OLBIA-TEMPIO,SCUOLA PRIMARIA,SOSTEGNO,ANNUALE,TRA 35 E 44,1,8
201718,BOLOGNA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,10,9
201718,MILANO,SCUOLA PRIMARIA,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,34,292
201718,TRAPANI,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,OLTRE 54,4,1
201718,GENOVA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,TRA 35 E 44,15,77
201718,VIBO VALENTIA,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,FINO A 34,1,0
201718,FORLI'-CESENA,SCUOLA SECONDARIA I GRADO,NORMALE,ANNUALE,TRA 35 E 44,4,16
201718,FROSINONE,SCUOLA INFANZIA,NORMALE,FINO AL TERMINE,TRA 45 E 54,0,6
201718,REGGIO EMILIA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,OLTRE 54,12,5
201718,PAVIA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,FINO A 34,14,31
201718,TARANTO,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,TRA 35 E 44,9,39
201718,PADOVA,SCUOLA PRIMARIA,NORMALE,FINO AL TERMINE,OLTRE 54,1,11
201718,CAGLIARI,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,26,83
201718,BRESCIA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,OLTRE 54,17,23
201718,MODENA,SCUOLA INFANZIA,SOSTEGNO,ANNUALE,TRA 45 E 54,0,6
201718,TARANTO,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,FINO A 34,0,16
201718,TRAPANI,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,FINO A 34,6,3
201718,PRATO,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,1,22
201718,FERRARA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,FINO A 34,29,42
201718,REGGIO EMILIA,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,FINO A 34,8,9
201718,CAMPOBASSO,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,TRA 45 E 54,4,9
201718,SONDRIO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,ANNUALE,TRA 35 E 44,0,3
201718,BARLETTA-ADRIA-TRANI,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO AL TERMINE,FINO A 34,2,10
201718,CAGLIARI,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,FINO A 34,12,35
201718,IMPERIA,SCUOLA PRIMARIA,NORMALE,FINO AL TERMINE,OLTRE 54,2,2
201718,ASTI,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,FINO A 34,14,21
201718,TARANTO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,17,42
201718,CALTANISSETTA,SCUOLA INFANZIA,NORMALE,FINO AL TERMINE,TRA 45 E 54,0,1
201718,SAVONA,SCUOLA PRIMARIA,SOSTEGNO,ANNUALE,OLTRE 54,0,4
201718,PAVIA,SCUOLA PRIMARIA,SOSTEGNO,ANNUALE,OLTRE 54,0,2
201718,L'AQUILA,SCUOLA INFANZIA,NORMALE,FINO AL TERMINE,TRA 35 E 44,0,4
201718,COMO,SCUOLA PRIMARIA,NORMALE,FINO AL TERMINE,TRA 45 E 54,2,22
201718,PRATO,SCUOLA INFANZIA,NORMALE,FINO AL TERMINE,TRA 45 E 54,0,6
201718,MANTOVA,SCUOLA INFANZIA,SOSTEGNO,ANNUALE,OLTRE 54,0,1
201718,NUORO,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,0,12
201718,VERONA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO AL TERMINE,FINO A 34,5,26
201718,LECCO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,ANNUALE,FINO A 34,0,1
201718,TARANTO,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,FINO A 34,14,29
201718,CROTONE,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,FINO A 34,0,2
201718,OLBIA-TEMPIO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,ANNUALE,FINO A 34,1,0
201718,CASERTA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,ANNUALE,TRA 45 E 54,1,3
201718,PISTOIA,SCUOLA INFANZIA,NORMALE,ANNUALE,TRA 45 E 54,0,1
201718,PADOVA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,OLTRE 54,1,7
201718,FERMO,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,TRA 45 E 54,1,8
201718,TREVISO,SCUOLA PRIMARIA,NORMALE,ANNUALE,FINO A 34,0,5
201718,VERONA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,TRA 35 E 44,29,85
201718,CUNEO,SCUOLA PRIMARIA,NORMALE,FINO AL TERMINE,FINO A 34,1,46
201718,TERNI,SCUOLA SECONDARIA I GRADO,SOSTEGNO,ANNUALE,FINO A 34,0,2
201718,RAVENNA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,OLTRE 54,4,10
201718,FERRARA,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,OLTRE 54,0,4
201718,RAGUSA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,TRA 45 E 54,7,14
201718,PIACENZA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO AL TERMINE,FINO A 34,3,15
201718,RIMINI,SCUOLA SECONDARIA I GRADO,NORMALE,ANNUALE,TRA 45 E 54,5,6
201718,AGRIGENTO,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,OLTRE 54,0,1
201718,MEDIO CAMPIDANO,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,FINO A 34,0,1
201718,UDINE,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,OLTRE 54,1,2
201718,UDINE,SCUOLA PRIMARIA,SOSTEGNO,ANNUALE,TRA 35 E 44,0,2
201718,PORDENONE,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,FINO A 34,0,9
201718,FIRENZE,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,TRA 35 E 44,39,116
201718,CALTANISSETTA,SCUOLA PRIMARIA,NORMALE,FINO AL TERMINE,TRA 45 E 54,0,1
201718,PERUGIA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO AL TERMINE,FINO A 34,13,46
201718,BELLUNO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO AL TERMINE,OLTRE 54,1,2
201718,BOLOGNA,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,FINO A 34,1,5
201718,PESCARA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,TRA 45 E 54,9,18
201718,TREVISO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,OLTRE 54,4,3
201718,CATANZARO,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,FINO A 34,0,5
201718,UDINE,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,OLTRE 54,20,19
201718,LECCO,SCUOLA PRIMARIA,NORMALE,ANNUALE,FINO A 34,0,1
201718,PISA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,13,35
201718,NOVARA,SCUOLA PRIMARIA,SOSTEGNO,ANNUALE,OLTRE 54,0,3
201718,AVELLINO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,ANNUALE,TRA 35 E 44,0,1
201718,SIENA,SCUOLA PRIMARIA,NORMALE,ANNUALE,TRA 35 E 44,0,1
201718,VENEZIA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,FINO A 34,25,65
201718,CATANIA,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,0,151
201718,BRESCIA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,ANNUALE,FINO A 34,21,48
201718,BENEVENTO,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,0,25
201718,TERNI,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,FINO A 34,4,14
201718,BERGAMO,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,OLTRE 54,12,13
201718,VERONA,SCUOLA PRIMARIA,NORMALE,ANNUALE,TRA 35 E 44,0,12
201718,FERRARA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,TRA 35 E 44,5,32
201718,LUCCA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,14,36
201718,LECCO,SCUOLA PRIMARIA,SOSTEGNO,FINO AL TERMINE,FINO A 34,4,57
201718,BOLOGNA,SCUOLA INFANZIA,NORMALE,FINO AL TERMINE,FINO A 34,0,4
201718,MATERA,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,TRA 35 E 44,1,1
201718,MILANO,SCUOLA INFANZIA,NORMALE,ANNUALE,TRA 35 E 44,0,10
201718,BELLUNO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,2,9
201718,LATINA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,FINO A 34,7,23
201718,MATERA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,0,1
201718,LIVORNO,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,TRA 45 E 54,3,22
201718,ALESSANDRIA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,ANNUALE,OLTRE 54,1,0
201718,RAVENNA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,13,30
201718,VIBO VALENTIA,SCUOLA SECONDARIA I GRADO,NORMALE,ANNUALE,FINO A 34,6,0
201718,PARMA,SCUOLA INFANZIA,NORMALE,FINO AL TERMINE,OLTRE 54,0,2
201718,LA SPEZIA,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,0,24
201718,PADOVA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,FINO A 34,49,70
201718,BARLETTA-ADRIA-TRANI,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,FINO A 34,9,17
201718,CARBONIA-IGLESIAS,SCUOLA PRIMARIA,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,2,60
201718,PORDENONE,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,5,13
201718,BENEVENTO,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,FINO A 34,22,23
201718,L'AQUILA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,FINO A 34,16,25
201718,SAVONA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,OLTRE 54,4,5
201718,VARESE,SCUOLA SECONDARIA I GRADO,NORMALE,ANNUALE,FINO A 34,9,32
201718,MANTOVA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,9,21
201718,GENOVA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,ANNUALE,OLTRE 54,2,0
201718,ROVIGO,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,TRA 35 E 44,5,27
201718,ALESSANDRIA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,FINO A 34,12,29
201718,CREMONA,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,TRA 45 E 54,8,13
201718,RAGUSA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,TRA 35 E 44,9,20
201718,LA SPEZIA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,FINO A 34,0,8
201718,PISTOIA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,TRA 45 E 54,7,12
201718,ANCONA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,TRA 35 E 44,15,43
201718,SIRACUSA,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,FINO A 34,4,3
201718,ROMA,SCUOLA INFANZIA,SOSTEGNO,ANNUALE,TRA 45 E 54,1,26
201718,PRATO,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,TRA 35 E 44,7,18
201718,PESARO E URBINO,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,0,7
201718,AREZZO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,18,61
201718,VICENZA,SCUOLA PRIMARIA,NORMALE,ANNUALE,TRA 35 E 44,0,5
201718,CAGLIARI,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,OLTRE 54,9,12
201718,VERBANO-CUSIO-OSSOLA,SCUOLA PRIMARIA,NORMALE,FINO AL TERMINE,TRA 45 E 54,0,9
201718,LATINA,SCUOLA INFANZIA,NORMALE,FINO AL TERMINE,TRA 45 E 54,0,11
201718,VITERBO,SCUOLA SECONDARIA I GRADO,NORMALE,ANNUALE,TRA 35 E 44,3,6
201718,REGGIO CALABRIA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,OLTRE 54,6,6
201718,PAVIA,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,0,46
201718,CUNEO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,OLTRE 54,4,0
201718,ORISTANO,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,FINO A 34,0,6
201718,ASTI,SCUOLA SECONDARIA I GRADO,NORMALE,ANNUALE,OLTRE 54,0,1
201718,FIRENZE,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,TRA 35 E 44,104,188
201718,COSENZA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,TRA 45 E 54,31,36
201718,REGGIO CALABRIA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO AL TERMINE,OLTRE 54,9,8
201718,BRINDISI,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,3,15
201718,PAVIA,SCUOLA INFANZIA,NORMALE,FINO AL TERMINE,TRA 45 E 54,0,2
201718,CREMONA,SCUOLA INFANZIA,NORMALE,FINO AL TERMINE,OLTRE 54,0,4
201718,OGLIASTRA,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,0,5
201718,CUNEO,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,OLTRE 54,2,1
201718,LUCCA,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,FINO A 34,8,15
201718,TARANTO,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,OLTRE 54,0,20
201718,UDINE,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,0,7
201718,SIENA,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,FINO A 34,2,2
201718,TORINO,SCUOLA INFANZIA,NORMALE,ANNUALE,TRA 45 E 54,0,4
201718,PALERMO,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,TRA 45 E 54,4,2
201718,COSENZA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,TRA 45 E 54,15,33
201718,BERGAMO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,ANNUALE,FINO A 34,22,56
201718,MESSINA,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,TRA 35 E 44,4,2
201718,VICENZA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,11,25
201718,L'AQUILA,SCUOLA PRIMARIA,NORMALE,ANNUALE,TRA 45 E 54,0,1
201718,SASSARI,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,FINO A 34,0,1
201718,VERBANO-CUSIO-OSSOLA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,10,22
201718,NUORO,SCUOLA PRIMARIA,NORMALE,FINO AL TERMINE,TRA 45 E 54,1,4
201718,UDINE,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,TRA 35 E 44,21,7
201718,LUCCA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,ANNUALE,TRA 35 E 44,3,15
201718,RIETI,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,1,5
201718,PIACENZA,SCUOLA PRIMARIA,SOSTEGNO,FINO AL TERMINE,FINO A 34,0,12
201718,SIENA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,OLTRE 54,2,4
201718,MATERA,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,1,1
201718,OLBIA-TEMPIO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO AL TERMINE,OLTRE 54,1,3
201718,MESSINA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,TRA 45 E 54,4,9
201718,ROVIGO,SCUOLA PRIMARIA,SOSTEGNO,ANNUALE,TRA 45 E 54,2,5
201718,NUORO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,FINO A 34,5,4
201718,IMPERIA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,ANNUALE,TRA 45 E 54,2,5
201718,TORINO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,ANNUALE,OLTRE 54,2,11
201718,AVELLINO,SCUOLA PRIMARIA,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,0,12
201718,VERBANO-CUSIO-OSSOLA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,TRA 45 E 54,17,16
201718,VENEZIA,SCUOLA PRIMARIA,SOSTEGNO,ANNUALE,TRA 45 E 54,2,39
201718,PISA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,TRA 35 E 44,10,29
201718,PISTOIA,SCUOLA PRIMARIA,SOSTEGNO,ANNUALE,OLTRE 54,0,1
201718,BRINDISI,SCUOLA PRIMARIA,NORMALE,FINO AL TERMINE,OLTRE 54,0,2
201718,PALERMO,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,TRA 35 E 44,16,45
201718,TRAPANI,SCUOLA PRIMARIA,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,1,8
201718,BARI,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,FINO A 34,0,38
201718,VENEZIA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,ANNUALE,TRA 35 E 44,2,0
201718,FORLI'-CESENA,SCUOLA INFANZIA,NORMALE,FINO AL TERMINE,TRA 35 E 44,1,9
201718,TORINO,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,FINO A 34,51,156
201718,PIACENZA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,ANNUALE,TRA 35 E 44,7,10
201718,CATANIA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,11,36
201718,MILANO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,31,43
201718,BENEVENTO,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,TRA 35 E 44,1,2
201718,PERUGIA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,FINO A 34,46,67
201718,BRESCIA,SCUOLA SECONDARIA I GRADO,NORMALE,ANNUALE,TRA 45 E 54,17,36
201718,BELLUNO,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,TRA 45 E 54,13,18
201718,GROSSETO,SCUOLA PRIMARIA,NORMALE,FINO AL TERMINE,TRA 35 E 44,1,26
201718,TRAPANI,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,0,36
201718,MONZA E BRIANZA,SCUOLA PRIMARIA,NORMALE,FINO AL TERMINE,TRA 35 E 44,7,92
201718,POTENZA,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,0,25
201718,PISA,SCUOLA PRIMARIA,SOSTEGNO,FINO AL TERMINE,FINO A 34,1,31
201718,BARLETTA-ADRIA-TRANI,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,6,18
201718,MILANO,SCUOLA PRIMARIA,NORMALE,FINO AL TERMINE,TRA 45 E 54,16,96
201718,TERNI,SCUOLA SECONDARIA I GRADO,NORMALE,ANNUALE,TRA 45 E 54,1,1
201718,VARESE,SCUOLA PRIMARIA,NORMALE,FINO AL TERMINE,TRA 45 E 54,3,24
201718,RAGUSA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,0,1
201718,PARMA,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,FINO A 34,10,9
201718,CAGLIARI,SCUOLA PRIMARIA,SOSTEGNO,FINO AL TERMINE,OLTRE 54,1,7
201718,CAMPOBASSO,SCUOLA PRIMARIA,SOSTEGNO,FINO AL TERMINE,OLTRE 54,0,2
201718,BARLETTA-ADRIA-TRANI,SCUOLA SECONDARIA I GRADO,NORMALE,FINO AL TERMINE,TRA 35 E 44,6,33
201718,SAVONA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,FINO A 34,13,19
201718,ROVIGO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,FINO A 34,3,14
201718,TRIESTE,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,FINO A 34,8,8
201718,COMO,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,TRA 45 E 54,19,27
201718,PARMA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,ANNUALE,TRA 35 E 44,4,9
201718,CAGLIARI,SCUOLA PRIMARIA,NORMALE,FINO AL TERMINE,TRA 35 E 44,6,31
201718,PISTOIA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,28,86
201718,MANTOVA,SCUOLA PRIMARIA,SOSTEGNO,FINO AL TERMINE,TRA 45 E 54,1,33
201718,LODI,SCUOLA SECONDARIA I GRADO,NORMALE,ANNUALE,FINO A 34,6,16
201718,IMPERIA,SCUOLA INFANZIA,SOSTEGNO,ANNUALE,TRA 45 E 54,0,1
201718,TARANTO,SCUOLA SECONDARIA II GRADO,NORMALE,ANNUALE,TRA 35 E 44,7,12
201718,ASCOLI PICENO,SCUOLA SECONDARIA II GRADO,NORMALE,FINO AL TERMINE,OLTRE 54,3,2
201718,MEDIO CAMPIDANO,SCUOLA INFANZIA,SOSTEGNO,FINO AL TERMINE,TRA 35 E 44,0,7
201718,VERONA,SCUOLA SECONDARIA I GRADO,NORMALE,ANNUALE,TRA 45 E 54,4,13
